PostalCode,Borough,Neighborhood
M3A,North York,North York
M4A,North York,North York
M5A,Downtown Toronto,Downtown Toronto
M6A,North York,North York
M7A,Downtown Toronto,Downtown Toronto
M9A,Etobicoke,Etobicoke
M1B,Scarborough,Scarborough
M3B,North York,North York
M4B,East York,East York
M5B,Downtown Toronto,Downtown Toronto
M6B,North York,North York
M9B,Etobicoke,Etobicoke
M1C,Scarborough,Scarborough
M3C,North York,North York
M4C,East York,East York
M5C,Downtown Toronto,Downtown Toronto
M6C,York,York
M9C,Etobicoke,Etobicoke
M1E,Scarborough,Scarborough
M4E,East Toronto,East Toronto
M5E,Downtown Toronto,Downtown Toronto
M6E,York,York
M1G,Scarborough,Scarborough
M4G,East York,East York
M5G,Downtown Toronto,Downtown Toronto
M6G,Downtown Toronto,Downtown Toronto
M1H,Scarborough,Scarborough
M2H,North York,North York
M3H,North York,North York
M4H,East York,East York
M5H,Downtown Toronto,Downtown Toronto
M6H,West Toronto,West Toronto
M1J,Scarborough,Scarborough
M2J,North York,North York
M3J,North York,North York
M4J,East York,East York
M5J,Downtown Toronto,Downtown Toronto
M6J,West Toronto,West Toronto
M1K,Scarborough,Scarborough
M2K,North York,North York
M3K,North York,North York
M4K,East Toronto,East Toronto
M5K,Downtown Toronto,Downtown Toronto
M6K,West Toronto,West Toronto
M1L,Scarborough,Scarborough
M2L,North York,North York
M3L,North York,North York
M4L,East Toronto,East Toronto
M5L,Downtown Toronto,Downtown Toronto
M6L,North York,North York
M9L,North York,North York
M1M,Scarborough,Scarborough
M2M,North York,North York
M3M,North York,North York
M4M,East Toronto,East Toronto
M5M,North York,North York
M6M,York,York
M9M,North York,North York
M1N,Scarborough,Scarborough
M2N,North York,North York
M3N,North York,North York
M4N,Central Toronto,Central Toronto
M5N,Central Toronto,Central Toronto
M6N,York,York
M9N,York,York
M1P,Scarborough,Scarborough
M2P,North York,North York
M4P,Central Toronto,Central Toronto
M5P,Central Toronto,Central Toronto
M6P,West Toronto,West Toronto
M9P,Etobicoke,Etobicoke
M1R,Scarborough,Scarborough
M2R,North York,North York
M4R,Central Toronto,Central Toronto
M5R,Central Toronto,Central Toronto
M6R,West Toronto,West Toronto
M7R,Mississauga,Mississauga
M9R,Etobicoke,Etobicoke
M1S,Scarborough,Scarborough
M4S,Central Toronto,Central Toronto
M5S,Downtown Toronto,Downtown Toronto
M6S,West Toronto,West Toronto
M1T,Scarborough,Scarborough
M4T,Central Toronto,Central Toronto
M5T,Downtown Toronto,Downtown Toronto
M1V,Scarborough,Scarborough
M4V,Central Toronto,Central Toronto
M5V,Downtown Toronto,Downtown Toronto
M8V,Etobicoke,Etobicoke
M9V,Etobicoke,Etobicoke
M1W,Scarborough,Scarborough
M4W,Downtown Toronto,Downtown Toronto
M5W,Downtown Toronto,Downtown Toronto
M8W,Etobicoke,Etobicoke
M9W,Etobicoke,Etobicoke
M1X,Scarborough,Scarborough
M4X,Downtown Toronto,Downtown Toronto
M5X,Downtown Toronto,Downtown Toronto
M8X,Etobicoke,Etobicoke
M4Y,Downtown Toronto,Downtown Toronto
M7Y,East Toronto,East Toronto
M8Y,Etobicoke,Etobicoke
M8Z,Etobicoke,Etobicoke
