Borough,Neighborhood,Latitude,Longitude
North York,Parkwoods,43.7532586,-79.3296565
North York,Victoria Village,43.7258823,-79.3155716
Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633
Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.5322424
Scarborough,"Malvern, Rouge",43.8066863,-79.1943534
North York,Don Mills,43.7459058,-79.352188
East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371
North York,Glencairn,43.709577,-79.4450726
Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244
Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971
North York,Don Mills,43.7258997,-79.340923
East York,Woodbine Heights,43.6953439,-79.3183887
Downtown Toronto,St. James Town,43.6514939,-79.3754179
York,Humewood-Cedarvale,43.6937813,-79.4281914
Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008
Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
East Toronto,The Beaches,43.6763574,-79.2930312
Downtown Toronto,Berczy Park,43.6447708,-79.3733064
York,Caledonia-Fairbanks,43.6890256,-79.453512
Scarborough,Woburn,43.7709921,-79.2169174
East York,Leaside,43.7090604,-79.3634517
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
Downtown Toronto,Christie,43.669542,-79.4225637
Scarborough,Cedarbrae,43.773136,-79.2394761
North York,Hillcrest Village,43.8037622,-79.3634517
North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
East York,Thorncliffe Park,43.7053689,-79.3493719
Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675
West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593
Scarborough,Scarborough Village,43.7447342,-79.2394761
North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
North York,"Northwood Park, York University",43.7679803,-79.4872619
East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065
Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523
West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294
North York,Bayview Village,43.7869473,-79.385975
North York,Downsview,43.7374732,-79.4647633
East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764
West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914
Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772
North York,"York Mills, Silver Hills",43.7574902,-79.3747141
North York,Downsview,43.7390146,-79.5069436
East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716
Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169
North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738
North York,Humber Summit,43.7563033,-79.5659633
Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761
North York,"Willowdale, Newtonbrook",43.789053,-79.4084928
North York,Downsview,43.7284964,-79.4956974
East Toronto,Studio District,43.6595255,-79.340923
North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133
North York,"Humberlea, Emery",43.7247659,-79.5322424
Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
North York,"Willowdale, Willowdale East",43.7701199,-79.4084928
North York,Downsview,43.7616313,-79.5209994
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Roselawn,43.7116948,-79.4169356
York,"Runnymede, The Junction North",43.6731853,-79.4872619
York,Weston,43.706876,-79.5181884
Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304
North York,York Mills West,43.7527583,-79.4000493
Central Toronto,Davisville North,43.7127511,-79.3901975
Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.4113072
West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
Etobicoke,Westmount,43.696319,-79.5322424
Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491
North York,"Willowdale, Willowdale West",43.7827364,-79.4422593
Central Toronto,"North Toronto West,  Lawrence Park",43.7153834,-79.4056784
Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819
Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244
Scarborough,Agincourt,43.7942003,-79.2620294
Central Toronto,Davisville,43.7043244,-79.3887901
Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493
Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207
Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369
Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887
Downtown Toronto,Rosedale,43.6795626,-79.3775294
Downtown Toronto,Stn A PO Boxes,43.6464352,-79.374846
Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
Etobicoke,"Northwest, West Humber - Clairville",43.7067483,-79.5940544
Scarborough,Upper Rouge,43.8361247,-79.2056361
Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436
Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091
Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994
